post	target	implied_statement
will israel ever rename an airport / road on adolf eichmann ? moron of romila thapar order ! !	Jews	Jews are stupid
the fbi dir coney is a joke he loves to call white ppl racist but not a peep on muslims or black who are	Muslims and blacks	Muslims and blacks are racists.
not surprised . liberals & islamists biggest threat to india . oh & add indian main stream media to it as well	Islamic people	Islamic people are threatening.
let's all vote hillary, why should ca be the only state with leprosy?	Immigrants	Immigrants are a disease
muslim refugees  thats what happened . dirty pigs ..	Muslim refugees	Muslim refugees degrade society
obama knows that and is why he has a sharia czar in the whitehouse	Muslims	Muslims don't belong in the White House.
the 1st slave owner in fl was a black man  owning white & black slaves . muslims enslave all races today . slavery is not about race !	black people	Black people are bad.
cair we all know what and who you are - it isn't islamophobic when they really are trying to kill you ! #banshariah	Islamic people	Islamic people are killers.
" will  quick question : if a black guy decapitates a white guy bc the color of his race will your headline say a )  "" reparations "" "" or b ) "" "" we need to do more to listen the oppressed communities "" "" ? """	black people	BLack people are killers.
" who are we ? - ( of ) proposes the term  "" white advocate "" "" over #wn  #altright  identitarian """	non-white people	non-white people are a threat
denmark . white america . someone honestly want to tell me the two aren't closer than mayans ?	White people	White Americans are more European than Americans
get your muslim house in order , enough is enough	Muslim	The fault of Muslim immigrants lies solely with Muslims
white privilege though .	white people	White people have more priveleges than other races.
isn't their mentality, or lack of, so twisted?!!! the men prefer men but want to look like women. women prefer women but dress like men. lol	Trans People	Trans People have a twisted mentality.
switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via	Africans	Africans are violent.
after last night, the rioters of #ferguson should be considered terrorists and be dealt with accordingly	Protestors	Protestors should be killed
jeff, let's hit these illegal sanctuary cities in the pocketbook, just where it hurts..then watch them get in line very quickly !	Latino folks	Latino folks should get punished
" they smother the good white people of america ! they need to be hung  brother  "" south "" "" ! """	immigrants	Immigrants hurt the white people.
zero illegal persons in the united states should be left unevaluated or allowed to believe they have rights- see switzerland+germany+compare	Immigrants	Immigrants should be deported
' jews of color ' denounce white-presenting jews for saying jews aren't white via	Jews	Jews aren't white.
" is it technically considered a hate crime now to yell   "" trump ! trump ! trump ! "" "" at brown people ? #maga """	Blacks	Blacks blame whites incessantly
it was the work of . white people are finally coming together to fight back against the monsters in our lands .	white people	White people need to unite.
this is what daca protects . #nodaca #buildthewall #deportillegals	illegal aliens	Illegal aliens should be deported.
i see white children living happily in white countries . white countries must return to being white .	Minorities	Minorities are substandard races of people.
white gentiles must critically assess themselves also	Jews	Jews are the enemy
afrikaners establish exclusive all-white community in orania  south africa via	Minorities	Minorities are inferior human beings
no no no - australia can keep them or send them to their country of origin - !!!!	Immigrants	Immigrants must not leave their underdeveloped countries.
nothing . white people are targeted for genocide in our own lands . we must love and defend one another in order to preserve our heritage .	Minorities	Minorities mark whites for extermination
jason kessler getting attacked at his press conference today is further proof that there is no free speech for white people in america .	Minorities	Minorities oppress whites
